1 ,   Afghanistan ,   191,   40978449
2 ,   Albania ,   1251,   2870457
3 ,   Algeria ,   151,   45702456
4 ,   Andorra ,   1999,   77554
5 ,   Angola ,   54,   35257602
6 ,   Anguilla ,   783,   15316
7 ,   Antigua and Barbuda ,   1463,   99824
8 ,   Argentina ,   2816,   46165147
9 ,   Armenia ,   2926,   2976183
10 ,   Aruba ,   2152,   107825
11 ,   Australia ,   603,   26191510
12 ,   Austria ,   2305,   9126490
13 ,   Azerbaijan ,   962,   10352786
14 ,   Bahamas ,   2072,   402027
15 ,   Bahrain ,   831,   1839938
16 ,   Bangladesh ,   175,   168524595
17 ,   Barbados ,   1943,   288197
18 ,   Belarus ,   754,   9442062
19 ,   Belgium ,   2814,   11707486
20 ,   Belize ,   1657,   414505
21 ,   Benin ,   13,   12865814
22 ,   Bermuda ,   2413,   61741
23 ,   Bhutan ,   27,   791469
24 ,   Bolivia ,   1846,   12045268
25 ,   Bosnia and Herzegovina ,   5004,   3233173
26 ,   Botswana ,   1133,   2462652
27 ,   Brazil ,   3186,   216090731
28 ,   British Virgin Islands ,   2085,   30701
29 ,   Brunei ,   503,   447270
30 ,   Bulgaria ,   5552,   6826335
31 ,   Burkina Faso ,   17,   22243806
32 ,   Burundi ,   3,   12719092
33 ,   Cabo Verde ,   719,   570103
34 ,   Cambodia ,   177,   17259895
35 ,   Cameroon ,   70,   28091156
36 ,   Canada ,   1204,   38515615
37 ,   CAR ,   22,   5026103
38 ,   Caribbean Netherlands ,   1344,   26793
39 ,   Cayman Islands ,   518,   67526
40 ,   Chad ,   11,   17528247
41 ,   Channel Islands ,   1154,   177609
42 ,   Chile ,   3169,   19499734
43 ,   China ,   4,   1439323776
44 ,   Colombia ,   2720,   52150634
45 ,   Comoros ,   176,   912916
46 ,   Congo ,   66,   5835713
47 ,   Cook Islands ,   57,   17602
48 ,   Costa Rica ,   1732,   5202846
49 ,   Croatia ,   4247,   4046158
50 ,   Cuba ,   754,   11310467
51 ,   Curaçao ,   1745,   165661
52 ,   Cyprus ,   977,   1227900
53 ,   Czechia ,   3872,   10755398
54 ,   Denmark ,   1265,   5839863
55 ,   Diamond Princess ,   ,   
56 ,   Djibouti ,   185,   1021590
57 ,   Dominica ,   1022,   72404
58 ,   Dominican Republic ,   395,   11102187
59 ,   DPRK ,   3,   26042809
60 ,   DRC ,   15,   95930038
61 ,   Ecuador ,   1967,   18269402
62 ,   Egypt ,   230,   106847370
63 ,   El Salvador ,   645,   6562684
64 ,   Equatorial Guinea ,   121,   1510804
65 ,   Eritrea ,   28,   3661169
66 ,   Estonia ,   2068,   1328619
67 ,   Eswatini ,   1197,   1188243
68 ,   Ethiopia ,   62,   121623004
69 ,   Faeroe Islands ,   568,   49297
70 ,   Falkland Islands ,   ,   3717
71 ,   Fiji ,   963,   911627
72 ,   Finland ,   1212,   5560829
73 ,   France ,   2397,   65610970
74 ,   French Guiana ,   1297,   316787
75 ,   French Polynesia ,   2280,   284703
76 ,   Gabon ,   130,   2348547
77 ,   Gambia ,   144,   2575456
78 ,   Georgia ,   4259,   3971282
79 ,   Germany ,   1831,   84409911
80 ,   Ghana ,   45,   32589598
81 ,   Gibraltar ,   3208,   33667
82 ,   Greece ,   3275,   10304171
83 ,   Greenland ,   368,   57000
84 ,   Grenada ,   2084,   113741
85 ,   Guadeloupe ,   2481,   400284
86 ,   Guatemala ,   1065,   18690448
87 ,   Guinea ,   33,   13965898
88 ,   Guinea-Bissau ,   85,   2076772
89 ,   Guyana ,   1610,   795421
90 ,   Haiti ,   73,   11727472
91 ,   Honduras ,   1075,   10272907
92 ,   Hong Kong ,   1369,   7639139
93 ,   Hungary ,   4992,   9603061
94 ,   Iceland ,   632,   346419
95 ,   India ,   376,   1411718046
96 ,   Indonesia ,   567,   280284526
